# Event-implied properties that resemble an existing field on the same object.
# Registering would mint a near-duplicate. Decide: normalize the event to the
# existing field, or confirm they are genuinely distinct (then register by hand).

access.poa	~ existing access.poa_validated	(from access.poa.presented)
access.review	~ existing access.review_due_at	(from access.review.completed)
account.closure	~ existing account.closure_payout_due_at	(from account.closure.approved)
account.lock	~ existing account.lock_type	(from account.lock.applied)
advertising.reach_review	~ existing advertising.reach_review_due	(from advertising.reach_review.completed)
advertising.review	~ existing advertising.reach_review_due	(from advertising.review.requested)
affiliate.list_review	~ existing affiliate.list	(from affiliate.list_review.opened)
affiliate.transaction	~ existing affiliate.transaction_file_archived	(from affiliate.transaction.recorded)
ai.disclosure	~ existing ai.disclosure_text	(from ai.disclosure.published)
ai.register	~ existing ai.register_update_due_at	(from ai.register.updated)
alm.irr_simulation	~ existing alm.irr_simulation_due	(from alm.irr_simulation.completed)
analytics.dataset	~ existing analytics.lending_dataset	(from analytics.dataset.requested)
analytics.method_review	~ existing analytics.method_review_due_at	(from analytics.method_review.completed)
analytics.threshold	~ existing analytics.cohort_threshold	(from analytics.threshold.breached)
asset.cmdb	~ existing asset.cmdb_snapshot	(from asset.cmdb.updated)
audit.annual_plan	~ existing audit.annual_plan_id	(from audit.annual_plan.submitted)
audit.assessment	~ existing audit.assessment_type	(from audit.assessment.scheduled)
audit.cae_action	~ existing audit.cae_personnel_action	(from audit.cae_action.recorded)
audit.engagement	~ existing audit.engagement_cost	(from audit.engagement.started)
audit.report	~ existing audit.report_distributed	(from audit.report.drafted)
audit.retention	~ existing audit.retention_extended	(from audit.retention.applied)
auditor.access	~ existing auditor.access_denied	(from auditor.access.denied)
authority.matrix	~ existing authority.matrix_entry	(from authority.matrix.updated)
backup.restore	~ existing backup.restore_test_due	(from backup.restore.verified)
bureau.address_discrepancy	~ existing bureau.address	(from bureau.address_discrepancy.received)
capital.action	~ existing capital.action_analysis_id	(from capital.action.proposed)
capital.buffer	~ existing capital.buffer_eroded	(from capital.buffer.breached)
capital.ccyb	~ existing capital.ccyb_level	(from capital.ccyb.activated)
capital.contingency_action	~ existing capital.contingency_action_id	(from capital.contingency_action.executed)
capital.contingency_memo	~ existing capital.contingency_memo_due_at	(from capital.contingency_memo.issued)
capital.dividend	~ existing capital.dividend_limit	(from capital.dividend.proposed)
capital.icaap	~ existing capital.icaap_report_id	(from capital.icaap.presented)
capital.icaap_report	~ existing capital.icaap_report_id	(from capital.icaap_report.issued)
capital.instrument	~ existing capital.instrument_terms	(from capital.instrument.changed)
